CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,geoid
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Naperville,17,51622,1751622
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Schaumburg,17,68003,1768003
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Skokie,17,70122,1770122
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Gary,18,27000,1827000
17020,"Chico, CA",Metropolitan Statistical Area,Chico,6,13014,613014
17060,"Chillicothe, OH",Micropolitan Statistical Area,Chillicothe,39,14184,3914184
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Cincinnati,39,15000,3915000
17220,"Clarksburg, WV",Micropolitan Statistical Area,Clarksburg,54,15628,5415628
17260,"Clarksdale, MS",Micropolitan Statistical Area,Clarksdale,28,13820,2813820
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,Clarksville,47,15160,4715160
17340,"Clearlake, CA",Micropolitan Statistical Area,Clearlake,6,13945,613945
17380,"Cleveland, MS",Micropolitan Statistical Area,Cleveland,28,14260,2814260
17420,"Cleveland, TN",Metropolitan Statistical Area,Cleveland,47,15400,4715400
17460,"Cleveland-Elyria, OH",Metropolitan Statistical Area,Cleveland,39,16000,3916000
17460,"Cleveland-Elyria, OH",Metropolitan Statistical Area,Elyria,39,25256,3925256
17500,"Clewiston, FL",Micropolitan Statistical Area,Clewiston,12,13000,1213000
17540,"Clinton, IA",Micropolitan Statistical Area,Clinton,19,14430,1914430
17580,"Clovis, NM",Micropolitan Statistical Area,Clovis,35,16420,3516420
17620,"Coamo, PR",Micropolitan Statistical Area,Coamo,72,18719,7218719
17640,"Coco, PR",Micropolitan Statistical Area,Coco,72,18891,7218891
17660,"Coeur d'Alene, ID",Metropolitan Statistical Area,Coeur d'Alene,16,16750,1616750
17700,"Coffeyville, KS",Micropolitan Statistical Area,Coffeyville,20,14600,2014600
17740,"Coldwater, MI",Micropolitan Statistical Area,Coldwater,26,17020,2617020
